Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;SMILES;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type
CHEMBL3822890;;None;375.52;0;4.05;4p;Cc1ccccc1CN1CCC(C(=O)NCCc2c[nH]c3ccccc23)CC1;IC50;'=';400.0;nM;6.40;;;UO_0000065;17.04;0.31;2.35;13.29;0;CHEMBL3826565;Inhibition of human serum BCHE preincubated for 6 mins followed by addition of S-butyrylcholine iodide as substrate by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3822387;1;Scientific Literature;Bioorg Med Chem;2016;None;;
CHEMBL3823578;;None;405.54;0;4.06;4q;COc1ccc2[nH]cc(CCNC(=O)C3CCN(Cc4ccccc4C)CC3)c2c1;IC50;'=';3010.0;nM;5.52;;;UO_0000065;13.62;0.25;1.46;9.63;0;CHEMBL3826565;Inhibition of human serum BCHE preincubated for 6 mins followed by addition of S-butyrylcholine iodide as substrate by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3822387;1;Scientific Literature;Bioorg Med Chem;2016;None;;
CHEMBL3828679;;None;501.51;1;5.03;3j;CCCCCCCCCC(C)C1OCc2c[n+](C)c(C)c(OC(=O)N(C)C)c2CO1.[Br-];IC50;'=';590.0;nM;6.23;;;UO_0000065;14.78;0.28;1.20;12.01;0;CHEMBL3830393;Inhibition of human plasma BChE assessed as butyrylthiocholine hydrolysis preincubated for 10 mins followed by addition of substrate measured after 2 mins by spectrophotometric method;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3826971;1;Scientific Literature;Bioorg Med Chem Lett;2016;None;;
CHEMBL95;TACRINE;4.0;198.27;0;2.70;tacrine;Nc1c2c(nc3ccccc13)CCCC2;IC50;'=';21.0;nM;7.68;;;UO_0000065;38.72;0.70;4.98;19.73;1;CHEMBL654409;Inhibitory concentration against Butyrylcholinesterase (BuChE) from human serum;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1132590;1;Scientific Literature;J Med Chem;1999;None;;
CHEMBL440526;;None;480.61;1;5.75;9;CCCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1;IC50;'=';1.36;nM;8.87;;;UO_0000065;18.45;0.35;3.12;10.94;0;CHEMBL3829834;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3826877;1;Scientific Literature;J Med Chem;2016;None;;
CHEMBL3828693;;None;508.66;2;6.53;15;CCCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3ccc(=O)oc3c2)c1;IC50;'=';0.79;nM;9.10;;;UO_0000065;17.89;0.34;2.57;11.24;0;CHEMBL3829834;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3826877;1;Scientific Literature;J Med Chem;2016;None;;
CHEMBL3828443;;None;476.53;1;5.01;25;CCCCCCCNC(=O)Oc1cccc(-n2cc(COc3ccc4ccc(=O)oc4c3)nn2)c1;IC50;'=';71.2;nM;7.15;;;UO_0000065;15.00;0.28;2.14;6.59;0;CHEMBL3829834;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate preincubated for 20 mins followed by substrate addition by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3826877;1;Scientific Literature;J Med Chem;2016;None;;
CHEMBL4214951;;None;376.46;0;3.91;5i;CN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(O)c(O)c2)cc1;IC50;'=';950.0;nM;6.02;;;UO_0000065;16.00;0.29;2.11;8.27;0;CHEMBL4193448;Inhibition of human serum BChE using S-butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured up to 180 secs by spectrophotometric analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4190315;1;Scientific Literature;Eur J Med Chem;2017;None;;
CHEMBL4216806;;None;388.47;0;4.38;7f;CN(Cc1ccccc1)Cc1ccc(NC(=O)/C=C/c2ccc(O)c(O)c2)cc1;IC50;'=';8010.0;nM;5.10;;;UO_0000065;13.12;0.24;0.72;7.00;0;CHEMBL4193448;Inhibition of human serum BChE using S-butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured up to 180 secs by spectrophotometric analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4190315;1;Scientific Literature;Eur J Med Chem;2017;None;;
CHEMBL502;DONEPEZIL;4.0;379.50;0;4.36;Donepezil;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2;IC50;'=';4380.0;nM;5.36;;;UO_0000065;14.12;0.26;1.00;13.82;0;CHEMBL4193448;Inhibition of human serum BChE using S-butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured up to 180 secs by spectrophotometric analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4190315;1;Scientific Literature;Eur J Med Chem;2017;None;;
CHEMBL3605425;;None;460.53;1;5.53;77;CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(-c3nnc(-c4cccc(F)c4)[nH]3)ccc21;IC50;'=';44830.0;nM;4.35;;;UO_0000065;9.44;0.17;-1.18;8.05;0;CHEMBL3607423;Inhibition of BChE (unknown origin) using butyrylthiocholine chloride as substrate preincubated for 30 mins before substrate addition measured after 30 mins by Ellman method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3603773;1;Scientific Literature;Bioorg Med Chem;2015;None;;
CHEMBL4644284;;None;425.44;0;2.65;18;COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccoc1;IC50;'=';32000.0;nM;4.50;;;UO_0000065;10.57;0.20;1.84;5.65;0;CHEMBL4618122;Inhibition of human BuChE using butyrylthiocholine iodide as substrate measured for 1 min by spectrophotometric based Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4616657;1;Scientific Literature;J Nat Prod;2020;None;;
CHEMBL4648132;;None;485.54;0;4.21;16;COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1cccc2ccccc12;IC50;'=';100.0;nM;7.00;;;UO_0000065;14.42;0.27;2.79;10.53;0;CHEMBL4618122;Inhibition of human BuChE using butyrylthiocholine iodide as substrate measured for 1 min by spectrophotometric based Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4616657;1;Scientific Literature;J Nat Prod;2020;None;;
CHEMBL4634465;;None;480.47;0;2.97;12;COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccccc1[N+](=O)[O-];IC50;'=';2300.0;nM;5.64;;;UO_0000065;11.73;0.22;2.67;5.14;0;CHEMBL4618122;Inhibition of human BuChE using butyrylthiocholine iodide as substrate measured for 1 min by spectrophotometric based Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4616657;1;Scientific Literature;J Nat Prod;2020;None;;
CHEMBL4635404;;None;465.50;0;3.07;10;COc1cccc(C(=O)O[C@@H]2C[N@@]3Cc4c(cc5c(c4OC)OCO5)[C@@]24C=C[C@H](OC)C[C@H]34)c1;IC50;'=';6000.0;nM;5.22;;;UO_0000065;11.22;0.21;2.15;6.90;0;CHEMBL4618122;Inhibition of human BuChE using butyrylthiocholine iodide as substrate measured for 1 min by spectrophotometric based Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4616657;1;Scientific Literature;J Nat Prod;2020;None;;
CHEMBL4633343;;None;435.48;0;3.06;5;COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1ccccc1;IC50;'=';3800.0;nM;5.42;;;UO_0000065;12.45;0.23;2.36;8.16;0;CHEMBL4618122;Inhibition of human BuChE using butyrylthiocholine iodide as substrate measured for 1 min by spectrophotometric based Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4616657;1;Scientific Literature;J Nat Prod;2020;None;;
CHEMBL4291697;;None;512.69;2;6.70;7g;CC(C)(C)c1cc(/C=C/C(=O)NCCC2CCN(Cc3ccc(F)cc3F)CC2)cc(C(C)(C)C)c1O;IC50;;;;;;Not Active;;;;;;0;CHEMBL4274267;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate incubated for 5 mins followed by substrate addition measured after 180 secs by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4270597;1;Scientific Literature;Eur J Med Chem;2018;None;;
CHEMBL4293155;;None;511.15;2;7.07;7i;CC(C)(C)c1cc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3Cl)CC2)cc(C(C)(C)C)c1O;IC50;;;;;;Not Active;;;;;;0;CHEMBL4274267;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate incubated for 5 mins followed by substrate addition measured after 180 secs by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4270597;1;Scientific Literature;Eur J Med Chem;2018;None;;
CHEMBL99284;;None;323.40;0;3.64;(+)12 (+)-N(8)-norphenserine;CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12;IC50;'=';1745.5;nM;5.76;;;UO_0000065;17.80;0.33;2.12;10.74;0;CHEMBL876073;Inhibition of human Butyrylcholinesterase;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1130392;1;Scientific Literature;J Med Chem;1997;None;;
CHEMBL4646747;;None;480.47;0;2.97;13;COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](OC)C[C@@H]1[N@](C2)C[C@H]3OC(=O)c1cccc([N+](=O)[O-])c1;IC50;'=';81000.0;nM;4.09;;;UO_0000065;8.52;0.16;1.12;3.73;0;CHEMBL4618122;Inhibition of human BuChE using butyrylthiocholine iodide as substrate measured for 1 min by spectrophotometric based Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4616657;1;Scientific Literature;J Nat Prod;2020;None;;
CHEMBL4648224;;None;553.42;1;4.98;6b;O=[N+]([O-])C1C(Cc2c[nH]cn2)NC2(c3ccccc3-c3nc4ccccc4nc32)C1c1ccc(Br)cc1;IC50;'=';26600.0;nM;4.58;;;UO_0000065;8.27;0.17;-0.40;4.17;0;CHEMBL4603192;Inhibition of BChE (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4602614;1;Scientific Literature;Bioorg Med Chem Lett;2020;None;;
CHEMBL4642959;;None;504.55;1;4.23;6g;COc1ccccc1C1C([N+](=O)[O-])C(Cc2c[nH]cn2)NC12c1ccccc1-c1nc3ccccc3nc12;IC50;'=';14220.0;nM;4.85;;;UO_0000065;9.61;0.17;0.62;4.08;0;CHEMBL4603192;Inhibition of BChE (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4602614;1;Scientific Literature;Bioorg Med Chem Lett;2020;None;;
CHEMBL4284165;;None;420.51;0;3.92;21;O=C(NCCCC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2cc(O)ccc2o1;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL4273242;Inhibition of human serum BuChE using butyrylthiocholine as substrate pretreated for 5 mins followed by substrate addition and measured for 5 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4270563;1;Scientific Literature;Eur J Med Chem;2018;None;;
CHEMBL4285601;;None;437.49;0;3.88;5;COc1cc2oc(C(=O)OCC3CCN(Cc4ccccc4)CC3)cc(=O)c2cc1OC;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL4273242;Inhibition of human serum BuChE using butyrylthiocholine as substrate pretreated for 5 mins followed by substrate addition and measured for 5 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4270563;1;Scientific Literature;Eur J Med Chem;2018;None;;
CHEMBL4583650;;None;613.73;2;6.20;(+/-)-7;O=C(Nc1ccc(-c2cn(CCNc3c4c(nc5ccccc35)CCCC4)nn2)cn1)Nc1cccc2c1C1CCCCN1C2=O;IC50;'=';185.0;nM;6.73;;;UO_0000065;10.97;0.20;0.53;5.18;0;CHEMBL4391165;Inhibition of human serum BChE using BTCh as substrate preincubated for 20 mins followed by substrate addition and measured for 3 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4390652;1;Scientific Literature;Eur J Med Chem;2019;None;;
CHEMBL4174514;;None;464.99;1;5.56;13;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cc(Cl)c4ccccc4n3)CC1)C2;IC50;'=';5990.0;nM;5.22;;;UO_0000065;11.23;0.22;-0.34;10.11;0;CHEMBL4133356;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured over 5 mins by UV-Vis spectrophotometric analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4130418;1;Scientific Literature;Eur J Med Chem;2017;None;;
CHEMBL4176598;;None;295.35;0;3.59;9;[N-]=[N+]=Nc1cc(CN2CCC(C=O)CC2)nc2ccccc12;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL4133356;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured over 5 mins by UV-Vis spectrophotometric analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4130418;1;Scientific Literature;Eur J Med Chem;2017;None;;
CHEMBL1915761;GANODERIOL F;None;454.70;1;6.41;9;C[C@H](CCC=C(CO)CO)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)C(=O)CC[C@]4(C)C3=CC[C@]12C;IC50;'>';200000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL1918467;Inhibition of BChE assessed as hydrolysis of butrylcholine preincubated for 15 mins measured after 15 mins by colorimetric Ellman assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1914414;1;Scientific Literature;Bioorg Med Chem Lett;2011;None;;
CHEMBL3764376;;None;356.32;0;0.46;D14;N#CC1=C(N)N2CCCNC2=C([N+](=O)[O-])C12C(=O)Nc1ccc(F)cc12;IC50;'=';14710.0;nM;4.83;;;UO_0000065;13.56;0.25;4.37;3.52;0;CHEMBL3768337;Inhibition of BChE (unknown origin) using acetylthiocholine as substrate assessed as reduction of DTNB to TNB preincubated for 20 mins followed by addition of substrate by Ellman's kinetic method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3763108;1;Scientific Literature;Bioorg Med Chem;2016;None;;
CHEMBL3763820;;None;411.38;0;0.87;D11;CC1(C)CNC2=C([N+](=O)[O-])C3(C(=O)Nc4ccc([N+](=O)[O-])cc43)C(C#N)=C(N)N2C1;IC50;'=';11870.0;nM;4.93;;;UO_0000065;11.97;0.22;4.06;2.73;0;CHEMBL3768337;Inhibition of BChE (unknown origin) using acetylthiocholine as substrate assessed as reduction of DTNB to TNB preincubated for 20 mins followed by addition of substrate by Ellman's kinetic method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3763108;1;Scientific Literature;Bioorg Med Chem;2016;None;;
CHEMBL3764679;;None;338.33;0;0.24;D5;Cc1ccc2c(c1)C1(C(=O)N2)C(C#N)=C(N)N2CCNC2=C1[N+](=O)[O-];IC50;'=';16250.0;nM;4.79;;;UO_0000065;14.16;0.26;4.55;3.49;0;CHEMBL3768337;Inhibition of BChE (unknown origin) using acetylthiocholine as substrate assessed as reduction of DTNB to TNB preincubated for 20 mins followed by addition of substrate by Ellman's kinetic method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3763108;1;Scientific Literature;Bioorg Med Chem;2016;None;;
CHEMBL3763832;;None;559.22;1;3.88;D23;CC1(C)CNC2=C([N+](=O)[O-])C3(C(=O)c4ccc(Br)c5c(Br)ccc3c45)C(C#N)=C(N)N2C1;IC50;'=';23790.0;nM;4.62;;;UO_0000065;8.27;0.20;0.74;3.69;0;CHEMBL3768337;Inhibition of BChE (unknown origin) using acetylthiocholine as substrate assessed as reduction of DTNB to TNB preincubated for 20 mins followed by addition of substrate by Ellman's kinetic method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3763108;1;Scientific Literature;Bioorg Med Chem;2016;None;;
CHEMBL3765098;;None;671.35;2;6.24;D24;N#CC1=C(N)N(Cc2ccccc2)C(NCc2ccccc2)=C([N+](=O)[O-])C12C(=O)c1ccc(Br)c3c(Br)ccc2c13;IC50;'=';26600.0;nM;4.58;;;UO_0000065;6.81;0.15;-1.66;3.65;0;CHEMBL3768337;Inhibition of BChE (unknown origin) using acetylthiocholine as substrate assessed as reduction of DTNB to TNB preincubated for 20 mins followed by addition of substrate by Ellman's kinetic method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3763108;1;Scientific Literature;Bioorg Med Chem;2016;None;;
CHEMBL3216116;;None;716.67;2;10.57;(+/-)-7e;CC1=CC2Cc3nc4cc(Cl)ccc4c(NCCCCCCCCCNc4c5c(nc6ccccc46)CCCC5)c3C(C1)C2.Cl.Cl.Cl;IC50;'=';43.3;nM;7.36;;;UO_0000065;12.13;0.23;-3.21;14.77;0;CHEMBL2015199;Inhibition of human serum BChE using butyrylthiocholine iodide as substrate preincubated for 20 mins prior substrate addition measured after 5 mins by spectrophotometry;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2010698;1;Scientific Literature;J Med Chem;2012;None;;
CHEMBL474836;;None;401.51;1;5.08;13;COc1ccc(C(=O)c2ccc(/C=C/CN(C)Cc3ccccc3)cc2)cc1OC;IC50;'=';44000.0;nM;4.36;;;UO_0000065;10.85;0.20;-0.72;11.24;0;CHEMBL1019314;Inhibition of human serum BChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1138541;1;Scientific Literature;Eur J Med Chem;2009;None;;
CHEMBL470907;;None;389.50;0;4.96;10;CCN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1;IC50;'=';71500.0;nM;4.15;;;UO_0000065;10.64;0.20;-0.81;10.69;0;CHEMBL1019314;Inhibition of human serum BChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1138541;1;Scientific Literature;Eur J Med Chem;2009;None;;
CHEMBL4450045;;None;407.51;0;4.19;9d;Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(CO)c4)CC3)cc2oc1=O;IC50;;;;;;Not Determined;;;;;;0;CHEMBL4327339;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4325863;1;Scientific Literature;Eur J Med Chem;2019;None;;
CHEMBL4470448;;None;451.56;0;4.46;11;Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(OCCCO)c4)CC3)cc2oc1=O;IC50;'=';740.0;nM;6.13;;;UO_0000065;13.58;0.25;1.67;8.50;0;CHEMBL4327339;Inhibition of human serum BuChE using butyrylthiocholine iodide as substrate by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4325863;1;Scientific Literature;Eur J Med Chem;2019;None;;
CHEMBL219400;;None;408.46;0;3.85;4;CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2C1c1ccccc1[N+](=O)[O-])CCCC3;IC50;'=';4800.0;nM;5.32;;;UO_0000065;13.02;0.24;1.47;4.42;0;CHEMBL1003710;Inhibition of human serum BChE by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1138487;1;Scientific Literature;J Med Chem;2009;None;;
CHEMBL4097266;;None;210.28;0;3.62;Thiomethylsoman;CSP(C)(=O)OC(C)C(C)(C)C;IC50;'=';150000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL4021118;Inhibition of human BChE using butyrylthiocholine as substrate measured for 30 secs by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL4020717;1;Scientific Literature;Bioorg Med Chem;2017;None;;
CHEMBL11833;;None;262.31;0;1.79;5;CNC(=O)Oc1ccc2c(c1)OC[C@@H]1CCN(C)[C@H]21;IC50;'=';281838293126444.94;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL857083;Inhibitory activity against butyrylcholinesterase (BChE) in human erythrocyte;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134461;1;Scientific Literature;J Med Chem;2001;None;;
CHEMBL95;TACRINE;4.0;198.27;0;2.70;4;Nc1c2c(nc3ccccc13)CCCC2;IC50;'=';25.0;nM;7.60;;;UO_0000065;38.34;0.69;4.90;19.54;1;CHEMBL653528;In vitro inhibition of Butyrylcholinesterase from human plasma.;B;BAO_0000366;cell-free format;None;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1130398;1;Scientific Literature;J Med Chem;1997;None;;
CHEMBL574727;;None;506.60;1;3.88;5;CO[C@H]1O[C@H](CO)[C@@H](OCc2ccccc2)[C@@]2(OCc3ccccc3)[C@@H](OCc3ccccc3)CO[C@@H]12;IC50;'=';148000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL1040395;Inhibition of BChE in human serum assessed as hydrolysis of butyrylthiocholine by Ellman's method;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3638229;Serum;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1154078;1;Scientific Literature;Bioorg Med Chem;2009;None;;
CHEMBL3356950;;None;475.98;1;5.04;25;COc1ccc2nc3c(c(NCCCNC4=C(Cl)C(=O)c5ccccc5C4=O)c2c1)CCCC3;IC50;'=';742.0;nM;6.13;;;UO_0000065;12.88;0.25;1.09;7.63;0;CHEMBL3387412;Inhibition of human plasmatic BChE after 5 mins by Ellman method;B;BAO_0000357;single protein format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3351527;1;Scientific Literature;J Med Chem;2014;None;;
CHEMBL3335066;;None;428.53;0;4.53;20b5;O=c1oc2cc(OCCCN3CCN(Cc4ccccc4)CC3)ccc2c2ccccc12;IC50;'=';3700.0;nM;5.43;;;UO_0000065;12.68;0.23;0.90;11.83;0;CHEMBL3383712;Inhibition of human recombinant BuChE using butyrylthiocholine iodide substrate incubated for 15 mins by spectrophotometry based Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3351711;1;Scientific Literature;Bioorg Med Chem;2014;None;;
