Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;SMILES;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL4640031;;0;463.58;0;4.61;13f;C[C@H]1CN(C(=O)Nc2cc(-c3cn([C@H]4CC[C@@](C)(O)CC4)c4cnccc34)ccn2)C[C@@H](C)O1;IC50;'=';3.0;nM;8.52;;;UO_0000065;18.38;0.34;3.91;9.21;0;CHEMBL4604967;Inhibition of recombinant human N-terminal GST-tagged DYRK1A (1 to 763 residues) expressed in Sf21 cells using Ulight-glycogen synthase as substrate incubated for 60 mins by TR-FRET LANCE method;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4602691;1;Scientific Literature;J Med Chem;2020;CHEMBL4106362;
CHEMBL3754608;;0;275.31;0;3.64;4e;COc1ccc2[nH]cc(/C(C#N)=C/c3cccnc3)c2c1;IC50;'=';6300.0;nM;5.20;;;UO_0000065;18.89;0.34;1.56;8.43;0;CHEMBL3875856;Inhibition of GST-tagged human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate incubated for 30 mins in presence of [gamma-33 P] ATP by liquid scintillation counting analysis;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3875174;1;Scientific Literature;Eur J Med Chem;2016;None;
CHEMBL3335355;;0;254.24;0;3.08;15;O=C(c1ccc(O)cc1)c1cc2cc(O)ccc2o1;IC50;'=';9700.0;nM;5.01;;;UO_0000065;19.72;0.36;1.93;7.09;0;CHEMBL3382857;Inhibition of recombinant Dyrk1A (unknown origin) using KKISGRLSPIMTEQ-NH2 peptide substrate;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3352729;1;Scientific Literature;ACS Med. Chem. Lett.;2014;None;
CHEMBL3335360;;0;279.32;0;3.71;20;N#Cc1cccc(C(=O)c2cc3cc(O)ccc3s2)c1;IC50;'=';6000.0;nM;5.22;;;UO_0000065;18.69;0.36;1.51;8.55;0;CHEMBL3382857;Inhibition of recombinant Dyrk1A (unknown origin) using KKISGRLSPIMTEQ-NH2 peptide substrate;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3352729;1;Scientific Literature;ACS Med. Chem. Lett.;2014;None;
CHEMBL2153264;;0;211.23;0;1.60;7;Nc1nc2c(-c3ccccn3)nccc2[nH]1;Kd;'=';290.0;nM;6.54;;;UO_0000065;30.95;0.56;4.94;8.12;0;CHEMBL2154888;Binding affinity to DYRK1A;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2150858;1;Scientific Literature;J. Med. Chem.;2011;None;
CHEMBL3589653;;0;262.27;0;3.57;5a;O=C(O)c1nc2ccccc2c2[nH]c3ccccc3c12;IC50;'=';2600.0;nM;5.58;;;UO_0000065;21.29;0.38;2.02;8.46;0;CHEMBL3591177;Inhibition of human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3588821;1;Scientific Literature;J. Med. Chem.;2015;None;
CHEMBL3785408;;0;336.40;0;3.71;37;Cc1cccc(NC(=O)Nc2cccc3c2C2CCCCN2C3=O)n1;IC50;'=';2200.0;nM;5.66;;;UO_0000065;16.82;0.31;1.95;7.61;0;CHEMBL3787887;Inhibition of GST fused human recombinant DYRK1A expressed in Escherichia coli using woodtide as substrate after 30 mins by scintillation counting in presence of [gamma33P]ATP;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3784980;1;Scientific Literature;Eur. J. Med. Chem.;2016;None;
CHEMBL1802358;;0;307.31;0;2.35;1a;O=C1NC(Nc2ccccc2)=N/C1=C\c1ccc2c(c1)OCO2;IC50;'=';21.0;nM;7.68;;;UO_0000065;24.98;0.46;5.33;10.67;0;CHEMBL3097750;Inhibition of human recombinant DYRK1A expressed in Escherichia coli using GRSRSRSRSRSR as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3091319;1;Scientific Literature;Eur. J. Med. Chem.;2013;None;
CHEMBL1645546;;0;256.31;0;3.05;BDBM50333416;COCCOc1ccc2c(c1)[nH]c1c(C)nccc12;IC50;'=';15500.0;nM;4.81;;336109;UO_0000065;18.77;0.35;1.76;10.20;0;CHEMBL3887401;"Radiometric Protein Kinase Assay: A radiometric protein kinase assay (33PanQinase Activity Assay) was used for measuring the kinase activity of DYRK1A protein kinase. All kinase assays were performed in 96-well FlashPlates from Perkin Elmer (Boston, Mass., USA) in a 50 ul reaction volume. The reaction cocktail was pipetted in four steps in the following order: 20 ul of assay buffer (standard buffer); 5 ul of [gamma-33P]-ATP solution (in H2O); 5 ul of test compound (in 10% DMSO); 10 ul of substrate/10 ul of enzyme solution (premixed).The assay contained 60 mM HEPES-NaOH, pH 7.5, 3 mM MgCl2, 3 mM MnCl2, 3 uM Na-orthovanadate, 1.2 mM DTT, 50 ug/ml PEG20000, 1 uM [gamma-33P]-ATP (approx. 3x105 cpm per well), protein kinase, and substrate.For the determination of inhibitory profiles, DYRK1A protein kinase was used, which was purchased from Invitrogen Corporation. The kinase was expressed in 519 insect cells as human recombinant GST-fusion protein.";B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3886308;37;BindingDB Database;;2015;None;
CHEMBL2219889;;0;469.61;1;7.07;BDBM50395381;Cc1c2c(cc[n+]1Cc1ccccc1)c1ccc(OCc3ccccc3)cc1n2Cc1ccccc1;IC50;'=';21200.0;nM;4.67;;336113;UO_0000065;9.95;0.18;-2.40;25.91;0;CHEMBL3887401;"Radiometric Protein Kinase Assay: A radiometric protein kinase assay (33PanQinase Activity Assay) was used for measuring the kinase activity of DYRK1A protein kinase. All kinase assays were performed in 96-well FlashPlates from Perkin Elmer (Boston, Mass., USA) in a 50 ul reaction volume. The reaction cocktail was pipetted in four steps in the following order: 20 ul of assay buffer (standard buffer); 5 ul of [gamma-33P]-ATP solution (in H2O); 5 ul of test compound (in 10% DMSO); 10 ul of substrate/10 ul of enzyme solution (premixed).The assay contained 60 mM HEPES-NaOH, pH 7.5, 3 mM MgCl2, 3 mM MnCl2, 3 uM Na-orthovanadate, 1.2 mM DTT, 50 ug/ml PEG20000, 1 uM [gamma-33P]-ATP (approx. 3x105 cpm per well), protein kinase, and substrate.For the determination of inhibitory profiles, DYRK1A protein kinase was used, which was purchased from Invitrogen Corporation. The kinase was expressed in 519 insect cells as human recombinant GST-fusion protein.";B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3886308;37;BindingDB Database;;2015;None;
CHEMBL3775111;;0;230.26;0;2.34;6;CC1C/C(=C\c2ccc3c(c2)CCO3)C(=O)O1;IC50;'=';170.0;nM;6.77;;;UO_0000065;29.40;0.54;4.43;19.05;0;CHEMBL3778243;Inhibition of recombinant human N-terminal His6-tagged DYRK1A catalytic domain expressed in Escherichia coli BL21(DE3) cells using KKISGRLSPIMTEQ-NH2 as substrate incubated for 15 mins in presence of [gamma-32P]ATP;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;None;
CHEMBL4276858;;0;348.39;0;2.65;mar-21;N#Cc1cccc(NC2=NN=C(c3ccc4[nH]c(=O)[nH]c4c3)CS2)c1;Kd;'=';3800.0;nM;5.42;;;UO_0000065;15.56;0.30;2.77;4.96;0;CHEMBL4263571;Binding affinity to wild-type human partial length DYRK1A (H129 to S509 residues) expressed in mammalian expression system by Kinomescan method;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4261584;1;Scientific Literature;Eur J Med Chem;2018;None;
CHEMBL4290247;;0;389.46;1;5.19;31b;O=C(Cc1ccc(F)cc1)Nc1cncc(-c2cc(-c3cccnc3)cs2)c1;IC50;'=';14.3;nM;7.84;;;UO_0000065;20.14;0.38;2.65;14.29;0;CHEMBL4263647;Inhibition of recombinant human Dyrk1A expressed in Baculovirus expression system by Z'-LYTE assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4261587;1;Scientific Literature;Eur J Med Chem;2018;None;
CHEMBL270722;;0;271.23;0;2.87;79;Cc1cc(=O)oc2cc3c([N+](=O)[O-])c(O)ccc3cc12;IC50;'=';15000.0;nM;4.82;;;UO_0000065;17.79;0.33;1.95;5.15;0;CHEMBL4266676;Inhibition of human GST-fused DYRK1A expressed in Escherichia coli BL21 (DE3) using DYRKtide as substrate after 10 mins in presence of [gamma-33P]ATP;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4265878;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4080488;;0;209.25;0;2.93;18;Cc1cc(-c2c[nH]c3cnccc23)ccn1;IC50;'=';75.0;nM;7.12;;;UO_0000065;34.05;0.61;4.19;17.14;0;CHEMBL4034241;Inhibition of full-length recombinant human GST-tagged Dyrk1a expressed in baculovirus expression system using Alexa-Fluor tracer-236 incubated for 60 mins by TR-FRET based Lantha-screen Eu kinase assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4033637;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL4077010;;0;209.25;0;2.64;22;Cn1cc(-c2ccncc2)c2ccncc21;IC50;'=';89.0;nM;7.05;;;UO_0000065;33.69;0.60;4.41;22.96;0;CHEMBL4034241;Inhibition of full-length recombinant human GST-tagged Dyrk1a expressed in baculovirus expression system using Alexa-Fluor tracer-236 incubated for 60 mins by TR-FRET based Lantha-screen Eu kinase assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4033637;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL1515868;;0;359.39;0;3.40;52, NCGC00185965-01;c1nc(NCCc2c[nH]cn2)c2cc(-c3ccc4c(c3)OCO4)ccc2n1;IC50;'=';541.0;nM;6.27;;;UO_0000065;17.44;0.32;2.87;7.38;0;CHEMBL1771957;Inhibition of Dyrk1A kinase using ATP as substrate by 33P radiolabeled kinase assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1770051;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None;
CHEMBL4249925;;0;427.51;0;3.24;28;CS(=O)(=O)Nc1cccc(CC(=O)Nc2nc(-c3c[nH]c4ncccc34)cs2)c1;Ki;'=';1000.0;nM;6.00;;;UO_0000065;14.03;0.28;2.76;5.14;0;CHEMBL4235344;Inhibition of DYRK1A (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4229506;1;Scientific Literature;Bioorg Med Chem Lett;2018;None;
CHEMBL4442374;;0;326.40;0;3.71;2-1k;COC(=O)C(C)CCn1c2cc(OC)ccc2c2ccnc(C)c21;IC50;'=';19.0;nM;7.72;;;UO_0000065;23.66;0.44;4.01;14.47;0;CHEMBL4344348;Inhibition of DYRK1A (unknown origin) by FRET-based Lantha-screen Eu kinase binding assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4342463;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4159193;;0;226.28;0;3.34;2-sept;COc1ccc2c(c1)[nH]c1c(C)nc(C)cc12;IC50;'=';971.0;nM;6.01;;;UO_0000065;26.57;0.48;2.67;15.86;0;CHEMBL4151434;Inhibition of GST-tagged human recombinant DYRK1A by FRET-based LanthaScreen Eu kinase binding assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4145671;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL14762;SELICICLIB;2;354.46;0;3.20;"(R)-Roscovitine; Roscovitine";CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1;IC50;'=';1200.0;nM;5.92;;;UO_0000065;16.70;0.31;2.72;6.74;0;CHEMBL4275863;Inhibition of recombinant GST-tagged human DYRK1A expressed in Escherichia coli using woodtide as substrate after 30 mins in presence of [gamma-33P] by scintillation counting method;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4270644;1;Scientific Literature;Eur J Med Chem;2018;None;
CHEMBL4284209;;0;456.60;0;4.60;2;CC(C)c1cnn2c(NCc3ccc(-c4ccccn4)cc3)nc(N[C@H]3CC[C@H](N)CC3)nc12;IC50;'=';120.0;nM;6.92;;;UO_0000065;15.16;0.28;2.32;6.53;0;CHEMBL4275863;Inhibition of recombinant GST-tagged human DYRK1A expressed in Escherichia coli using woodtide as substrate after 30 mins in presence of [gamma-33P] by scintillation counting method;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4270644;1;Scientific Literature;Eur J Med Chem;2018;None;
CHEMBL2314451;;0;289.73;0;2.59;2f;CC(C)n1cnc2c(Nc3cncnc3)nc(Cl)nc21;IC50;'=';5300.0;nM;5.28;;;UO_0000065;18.21;0.36;2.69;6.48;0;CHEMBL2320633;Inhibition of recombinant GST-fused human DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2311464;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2314436;;0;356.43;0;2.37;6c;CC(C)[C@H](CO)Nc1nc(Nc2ccnnc2)c2ncn(C(C)C)c2n1;IC50;'=';280.0;nM;6.55;;;UO_0000065;18.38;0.34;4.18;5.76;0;CHEMBL2320633;Inhibition of recombinant GST-fused human DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2311464;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL1868723;;0;359.31;0;4.63;27;FC(F)(F)c1cccc(Nc2nccc(-c3ccc4c(c3)OCO4)n2)c1;IC50;'=';10.0;nM;8.00;;;UO_0000065;22.26;0.42;3.37;14.22;0;CHEMBL2394340;Inhibition of DYRK1A (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL608533;MIDOSTAURIN;4;570.65;2;5.91;PKC-412;CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4;Kd;'=';100.0;nM;7.00;;;UO_0000065;12.27;0.22;1.09;9.01;0;CHEMBL1908409;Binding constant for DYRK1A kinase domain;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1908390;1;Scientific Literature;Nat. Biotechnol.;2011;None;
CHEMBL535;SUNITINIB;4;398.48;0;3.33;Sunitinib;CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C;Kd;'=';200.0;nM;6.70;;;UO_0000065;16.81;0.32;3.37;8.67;1;CHEMBL1244798;Binding affinity to DYRK1A;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1240346;1;Scientific Literature;Blood;2009;None;
CHEMBL3589666;;0;371.19;0;4.34;5n;COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(Br)c3[nH]c21;IC50;'=';18.0;nM;7.75;;;UO_0000065;20.86;0.46;3.40;10.30;0;CHEMBL3591177;Inhibition of human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3588821;1;Scientific Literature;J. Med. Chem.;2015;None;
CHEMBL4295177;;0;393.42;1;5.40;23b;O=C(Nc1cncc(-c2cc(-c3cccnc3)cs2)c1)c1ccc(F)cc1F;IC50;'=';49.0;nM;7.31;;;UO_0000065;18.58;0.36;1.91;13.32;0;CHEMBL4263631;Inhibition of recombinant full length human Dyrk1A expressed in Baculovirus expression system using KKISGRLSPIMTEQ as substrate in presence of ATP;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4261587;1;Scientific Literature;Eur J Med Chem;2018;None;
CHEMBL3774667;;0;235.26;0;2.02;13;COc1ccc(/C=C2\NC(=O)SC2=O)cc1;IC50;'=';1300.0;nM;5.89;;;UO_0000065;25.02;0.50;3.87;10.62;0;CHEMBL3778243;Inhibition of recombinant human N-terminal His6-tagged DYRK1A catalytic domain expressed in Escherichia coli BL21(DE3) cells using KKISGRLSPIMTEQ-NH2 as substrate incubated for 15 mins in presence of [gamma-32P]ATP;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;None;
CHEMBL3775538;;0;245.30;0;3.02;10;CC1C/C(=C\c2ccc3ncsc3c2)C(=O)O1;IC50;'=';1080.0;nM;5.97;;;UO_0000065;24.32;0.48;2.95;15.22;0;CHEMBL3778243;Inhibition of recombinant human N-terminal His6-tagged DYRK1A catalytic domain expressed in Escherichia coli BL21(DE3) cells using KKISGRLSPIMTEQ-NH2 as substrate incubated for 15 mins in presence of [gamma-32P]ATP;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;None;
CHEMBL3774704;;0;231.28;0;2.63;7;O=C1OCC/C1=C\c1ccc2ncsc2c1;IC50;'=';130.0;nM;6.89;;;UO_0000065;29.77;0.59;4.26;17.57;0;CHEMBL3778243;Inhibition of recombinant human N-terminal His6-tagged DYRK1A catalytic domain expressed in Escherichia coli BL21(DE3) cells using KKISGRLSPIMTEQ-NH2 as substrate incubated for 15 mins in presence of [gamma-32P]ATP;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;None;
CHEMBL3335357;;0;284.34;0;3.85;17;Cc1cc(C(=O)c2cc3cc(O)ccc3s2)ccc1O;IC50;'=';11000.0;nM;4.96;;;UO_0000065;17.44;0.34;1.11;8.62;0;CHEMBL3382857;Inhibition of recombinant Dyrk1A (unknown origin) using KKISGRLSPIMTEQ-NH2 peptide substrate;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3352729;1;Scientific Literature;ACS Med. Chem. Lett.;2014;None;
CHEMBL3335358;;0;288.30;0;3.68;18;O=C(c1cc2cc(O)ccc2s1)c1cc(O)ccc1F;IC50;'=';2000.0;nM;5.70;;;UO_0000065;19.77;0.39;2.02;9.91;0;CHEMBL3382857;Inhibition of recombinant Dyrk1A (unknown origin) using KKISGRLSPIMTEQ-NH2 peptide substrate;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3352729;1;Scientific Literature;ACS Med. Chem. Lett.;2014;None;
CHEMBL4483653;;0;325.41;0;3.55;2-2e;COc1ccc2c3ccnc(C)c3n(CCCCCC(N)=O)c2c1;IC50;'=';168.0;nM;6.78;;;UO_0000065;20.82;0.39;3.22;9.66;0;CHEMBL4344348;Inhibition of DYRK1A (unknown origin) by FRET-based Lantha-screen Eu kinase binding assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4342463;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL2314461;;0;342.41;0;2.12;4b;CC[C@@H](CO)Nc1nc(Nc2ncccn2)c2ncn(C(C)C)c2n1;IC50;'=';2000.0;nM;5.70;;;UO_0000065;16.64;0.31;3.58;5.01;0;CHEMBL2320633;Inhibition of recombinant GST-fused human DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2311464;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL4293751;;0;355.40;0;2.59;3-jun;O=c1[nH]c2ccc(C3=NN=C(NCc4cccc(F)c4)SC3)cc2[nH]1;Kd;'=';900.0;nM;6.05;;;UO_0000065;17.01;0.33;3.46;7.08;0;CHEMBL4263571;Binding affinity to wild-type human partial length DYRK1A (H129 to S509 residues) expressed in mammalian expression system by Kinomescan method;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4261584;1;Scientific Literature;Eur J Med Chem;2018;None;
CHEMBL4283581;;0;362.42;0;2.32;3-dic;N#Cc1cccc(CNC2=NN=C(c3ccc4[nH]c(=O)[nH]c4c3)CS2)c1;Kd;'=';320.0;nM;6.50;;;UO_0000065;17.92;0.34;4.17;5.95;0;CHEMBL4263571;Binding affinity to wild-type human partial length DYRK1A (H129 to S509 residues) expressed in mammalian expression system by Kinomescan method;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4261584;1;Scientific Literature;Eur J Med Chem;2018;None;
CHEMBL359794;;0;313.32;0;2.80;12a;N#Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1;IC50;'=';103.0;nM;6.99;;;UO_0000065;22.30;0.40;4.19;7.61;0;CHEMBL4622607;Inhibition of recombinant human N-terminal Hex-tagged DYRK1A (127 to 485 residues) expressed in Escherichia coli BL21 (DE3) incubated for 1.5 hrs by TR-FRET assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4619818;1;Scientific Literature;ACS Med Chem Lett;2020;None;
CHEMBL1236107;SGX-523;1;359.42;0;3.22;SGX-523;Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1;Kd;'=';780.0;nM;6.11;;;UO_0000065;16.99;0.32;2.89;8.28;0;CHEMBL1908409;Binding constant for DYRK1A kinase domain;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1908390;1;Scientific Literature;Nat. Biotechnol.;2011;None;
CHEMBL4781361;;0;443.41;0;2.56;6;COc1cncc(C(=O)Nc2c[nH]nc2C(=O)Nc2ccc(N3CCC(F)(F)C3)nc2)c1;EC50;'=';14.0;nM;7.85;;;UO_0000065;17.71;0.34;5.29;6.28;0;CHEMBL4739817;Inhibition of recombinant DYRK1A (unknown origin) using Ser/Thr 18 peptide as substrate incubated for 1 hr in presence of ATP by FRET assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4739717;38;Patent Bioactivity Data;;;None;TIME = 1.0 hr
